Testcode;clang++ -std=c++17;clang++ -std=c++17 -O3 -DNDEBUG;clang++ -std=c++17              -stdlib=libc++;clang++ -std=c++17 -O3 -DNDEBUG -stdlib=libc++;clang++ -std=c++20;clang++ -std=c++20 -O3 -DNDEBUG;clang++ -std=c++20              -stdlib=libc++;clang++ -std=c++20 -O3 -DNDEBUG -stdlib=libc++;clang++ -std=c++20                              -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS;clang++ -std=c++20 -O3 -DNDEBUG                 -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS;clang++ -std=c++20              -stdlib=libc++ -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS;clang++ -std=c++20 -O3 -DNDEBUG -stdlib=libc++ -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS;g++ -std=c++17;g++ -std=c++17 -O3 -DNDEBUG;g++ -std=c++20;g++ -std=c++20 -O3 -DNDEBUG;g++ -std=c++20              -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS;g++ -std=c++20 -O3 -DNDEBUG -DTINY_OPTIONAL_NO_TRIVIAL_SPECIAL_MEMBER_FUNCTIONS
std.cpp;16.1580;5.6120;11.7300;4.3360;16.8540;6.3540;13.0560;4.9020;16.5720;6.3760;13.0900;4.7940;14.2460;7.8060;15.2260;7.7560;15.1360;7.3660
tiny.cpp;22.1920;6.8320;20.8160;5.9300;16.3960;7.2600;14.8820;5.6640;23.0100;7.5440;21.3720;6.2660;28.4060;10.9860;17.8260;8.9880;28.4700;11.2900
